Epoch: 0, Test loss: 2.305196038722992, Accuracy: 1498/10000 (14.98%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.4335914375718217, Accuracy: 8480/10000 (84.80%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.38218544957212, Accuracy: 8559/10000 (85.59%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3887342241140257, Accuracy: 8591/10000 (85.91%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3038751914978026, Accuracy: 1383/10000 (13.83%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.43929301566302603, Accuracy: 8506/10000 (85.06%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.43255190437287094, Accuracy: 8660/10000 (86.60%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3589211348173441, Accuracy: 8776/10000 (87.76%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 4, Test loss: 0.35439298415872034, Accuracy: 8727/10000 (87.27%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 5, Test loss: 0.3682106720617812, Accuracy: 8715/10000 (87.15%), Batch Size: 4, Total Epochs: 5, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.306254152297974, Accuracy: 938/10000 (9.38%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.4162441106175771, Accuracy: 8529/10000 (85.29%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.37535972898768777, Accuracy: 8643/10000 (86.43%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.38759000789124404, Accuracy: 8570/10000 (85.70%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 4, Test loss: 0.34126626301195356, Accuracy: 8835/10000 (88.35%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 5, Test loss: 0.3794031885919743, Accuracy: 8668/10000 (86.68%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 6, Test loss: 0.3245366160519432, Accuracy: 8850/10000 (88.50%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 7, Test loss: 0.33690925915883635, Accuracy: 8847/10000 (88.47%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 8, Test loss: 0.34753623536648875, Accuracy: 8721/10000 (87.21%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 9, Test loss: 0.34734889554693127, Accuracy: 8774/10000 (87.74%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 10, Test loss: 0.3564384270349305, Accuracy: 8699/10000 (86.99%), Batch Size: 4, Total Epochs: 10, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3130571333885195, Accuracy: 891/10000 (8.91%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.43395429689080045, Accuracy: 8507/10000 (85.07%), Batch Size: 4, Total Epochs: 15, Dropout Rate: Dropout(p=0.5, inplace=False)
